tag,word
1,ומצאו
1,אשר
1,הן
2,משום
1,תשמע
1,וחומר
1,אלהם
0,נגרא
0,הוה
2,וכל
0,אלמא
1,אחד
0,הילכתא
1,ועניי
0,בר
2,לה
0,מר
2,לא
0,בר אמודאי
0,ושדיוה
2,מן
1,בשטים
0,חסורי
0,גופה
0,הכי
1,שרבו
1,והאילנות
0,רכיב
2,לך
1,שמעברים
1,בעבור
2,לא
0,דשמואל
2,משום
1,היה
1,עשו
0,איכא
2,וכל
0,מגבית
2,ומודה
0,אימא
1,גרנו
0,מאי
1,ובכחול
0,וחדא
2,כל
1,וימצאו
1,חפרתי
0,ערק
2,אבני
0,ידעיתו
1,דבריו
2,כל
0,היכי
0,הינו
1,המים
0,רבנן
0,דמלכותא
1,את
0,דביתהו
1,מנוח
1,והיה
1,ודם
0,טעמא
0,מייתית
0,רבנן
1,שוברין
0,תימא
0,מהו
2,כי
0,אמרת
1,האחרון
0,דמידי
0,טורא
2,צריך
0,גיסא
1,גמליאל
1,ואריות
0,ואתא
0,עילויה
0,גמירי
0,חד בשבתא
0,יתיב
0,שבחא
1,טרפון
2,על
0,ביתא
0,אמתא
0,מיהא
1,אחד
0,דאמר
2,בכלל
0,דאמר
1,ואת
1,לנתחיה
1,ולביתו
0,ואזל
0,וצריכא
1,ארעה
0,בגויה
1,להיות
2,בין
1,דם
0,דחזא
1,טהור
0,דבצרה
1,שהשלים
1,השלחן
0,נפק
0,חיוריתא
1,כנען
1,וישבתה
0,הא
0,לרב
0,מאי
2,לא
1,בשלשה
1,שאחת
1,ועור
0,הדר
2,אמרו
0,דלמא
2,לבת
0,דקא
2,מי
0,נמי
0,דמעיקרא
1,ביום
0,ומאי
0,מישרא
0,תו
2,ולא
1,יסיק
1,ונתן
2,כל
1,שמחה
0,בר
1,והנה
2,לו
1,אשתך
1,שלמים
0,בעי
0,אי
1,פסלוהו
0,ליה
1,שמשנפתח
2,רבי
0,מכולה
2,עסקי
1,יפה
0,ליה
0,איתתא
0,גזליה
0,דהאי
2,כסא
1,בפקדון
2,ידעת
1,רע
0,מהימן
2,וכן
1,הבליעה
2,לה
0,אריכתא
2,בלא
1,אוסרין
2,דרש
0,ואתיא
1,קדש
1,הקרקע
0,לחד
2,אף
0,סברת
0,איתיביה
1,הלך
0,אימא
0,אורתא
1,המזבח
2,לי
0,לחבריה
0,לכי
1,ואם
1,מגורשת
1,שמן
2,אמר
1,המלח
0,בהו
0,מסתפינא
0,ליה
2,עיף
2,על
0,יתיב
2,עליה
0,דרסי
0,בר בר
1,טומאה
1,משה
1,ובשביעי
1,וינס
0,אתריה
2,מלבין
0,ביה
1,גמליאל
1,העדת
1,לשם
1,המכבה
1,רעהו
0,הדר
1,כת
2,משני
0,סוף סוף
0,מתני
1,ולכל
1,אניות
0,למיפק
0,האי
1,הים
1,כראוי
0,אימרא
0,אי
1,בעצרת
1,ושפשפה
1,אתכם
1,ירחיק
2,לו
1,שהכה
2,לה
1,שכתבו
0,יתיב
1,אם
0,ליה
0,דכי
1,יהוה
1,לכהונה
0,רבנן
0,ורב
0,ביה
2,לו
1,את
1,אחת
1,אל
1,וראו
0,גברא
0,דיהיב
0,ופלגא
1,תמותו
0,ומיחויא
2,כתב
0,אמרי
1,הענן
2,הוא
1,וינתן
1,הובאו
1,וטמאין
1,ידלקו
0,ורב
0,לחוד
0,וקא
1,שיהא
1,בהפרת
1,אלי
0,הוה
1,אביו
1,שהוא
0,פלגא
0,ליה
1,ואל
0,דלמר
2,לא
1,נבלות
2,לא
1,פוסל
0,דידיה
0,מאי
2,דרש
2,כל
2,לא
0,נפשיה
0,הוי
1,האלה
1,הכהן
0,לישנא
1,עדשה
0,ואי
1,שנחתכו
2,הוא
0,אזל
2,ארבע
2,לא
1,העם
1,הדופן
2,לו
1,שיתרחק
2,רבי
1,נשים
0,מיבעיא
1,מצד
1,והביאך
1,אני
1,לצורכה
0,הוה
2,אילן
1,שמותירות
0,באורתא
1,ראויה
2,ידעו
2,אמר
1,ובניו
0,בדיבוריה
0,מאן
1,שפטים
1,יתלה
2,כל
0,ליה
0,והבו
1,וחשב
2,הוא
0,נמי
1,אותה
1,הבא
0,מיכסא
1,חומש
0,אמרה
1,טמא
2,כי
2,מאחוריה
0,אימא
2,לו
1,אומר
0,והא
2,ארבעה
0,דכיון
0,סרכי
2,בספר
0,אתי
2,שבע
0,ליה
0,דקורטמי
1,נשיאהם
2,כי
1,את
1,ומחמירין
1,מחוץ
0,ריפתא
2,עליה
0,האי
2,אלא
0,לאישתמושי
0,לימא
1,מכר
1,בפרוטות
2,או
2,אמר
1,בא
0,ליה
1,שעיר
1,ובמושב
0,תיובתיה
1,אביה
0,ביה
2,לא
1,וסלי
1,למטה
0,קשיא
1,יעקב
0,באונסיה
1,הנוקפין
1,חדש
1,הלוא
1,ועל
1,ויפקדם
1,אפי'
1,ויעל
1,אליעזר
0,אמרה
2,וחיי
0,דקא
0,אמרי
0,מהדרנא
2,לי
0,ממונא
1,אומרים
0,דדאמי
0,לאפוקי
1,מאכל
1,שנת
0,אי
1,ונתתי
2,בת
0,מברא
0,מיניהו
1,מהם
0,דרב
1,לעלה
1,והקריבן
0,מאי
0,דלצניעותא
1,שעירה
0,דקמצי
1,חקתי
2,לו
1,מחט
1,עמהן
1,הרי
2,שני
2,כל
1,זה
1,את
0,ואיכא
2,לא
1,אם
2,ההוא
0,סבר
1,עשה
0,בר
1,סביב
0,הכא
2,רבי
0,השתא
2,רבי
1,ובית
0,נמי
1,היו
0,ואי
0,לקמיה
1,ערך
2,אלא
0,הויא
0,דזרק
2,היא
1,ויצף
0,ליה
0,מאריה דעובדא
2,אין
0,הכי
1,נאמר
2,על
0,דייק
0,גופיהו
2,הוא
2,לי
2,שמה
2,כי
0,אחריתי
2,לו
0,תלתא
2,שני
1,וחורי
0,מסליק
1,שלו
1,וחצוצרות
2,לא
2,לא
1,לפניך
2,מספק
2,אבא
1,ספק
1,חולין
1,דברים
0,גברא
0,לאסהודי
1,עבדיו
0,נפק
0,בפלוגתא
0,אגב
0,לית
2,בין
0,פירא
0,לאידך
0,דשמואל
0,אנא
0,איכא
2,אמר
0,אזיל
1,ברשות
0,ליה
0,חזית
0,הכא
2,מן
0,נמי
1,כלכלת
2,רבי
2,לכו
1,רוצה
2,אבא
2,אתו
0,יהיב
1,אחר
0,שבחא
1,אחת
1,יוחנן
1,הטהור
1,בשר
2,אתנו
1,בכל
1,עיני
0,הכא
0,עיסקא
1,הגולה
1,תכה
0,תרי
0,ליה
2,מכאן
2,בני
1,בן
0,דלא
1,לפני
0,ליה
0,וקדחה
1,בעל
1,בלבד
1,אהרן
1,נהרג
0,דאי
1,מלא
0,כחישא
0,כיון
0,נמי
0,דני
1,אביהם
1,נעשו
1,יינו
0,נמי
0,דאינשי
0,אי
1,ואחר
1,שבפריחתן
0,ליה
1,כזירודה
0,לאחוריה
0,בעי
1,בעליו
0,מיפרכא
0,לההיא
2,לא
1,הדברים
1,הלשכה
1,בכהן
2,טרפה
1,שיש
1,כדירין
1,לרעה
0,ואתא
1,יהוה
2,מי
1,להוציאנו
2,אלא
0,נמי
0,וליקלייה
0,והאי
1,בן
1,שמאי
0,כי היכי
1,את
1,פדרו
0,תני
0,ורבנן
1,והחלב
0,בר
1,צדק
2,כי
0,דכמה
0,מנא
0,האי
0,בר
1,יהיה
2,לא
0,מכי
1,אומר
1,מאפמיא
0,היכא
2,סלי
1,עדותן
1,מת
0,ליה
1,הדמאי
0,דלית
1,הזאת
1,בא
0,רבנן
2,לא
0,דאניסכא
1,במדבר
1,מטהר
0,תנא
2,שני
1,את
0,דנחית
0,לההוא
0,תרגמה
0,רב
2,קיימא
0,בזוזא
0,מעליא
0,דמי
0,היכי
1,העוף
1,המפורש
0,דרבנן
0,הא
2,רבי
1,בארצו
0,לגבי
0,דאשתדוף
1,לב
1,והרמוצה
2,לי
0,כל אימת
2,ולא
1,שחרור
1,והפרכין
2,כל
2,רבי
0,ניחא
0,נמי
2,אף
0,ניקום
1,לעת
0,התם
0,דהוה
0,כדי
0,למאן
2,בה
0,ובריך
1,השביעית
2,על
0,אהניא
1,את
0,חשיב
1,האחד
1,אדום
0,חמירתא
0,מנא
1,השדה
1,וקורין
0,מינה
0,עביד
0,אמרי
0,בעא
0,כשורי
0,והכי
1,שהוא
1,היורש
2,לא
0,דתנו
1,נשלמה
2,הוא
1,אם
1,ויאמר
2,לה
0,הא
1,אם
0,דאמרי
0,תרי
1,הבאתיו
2,אלא
1,שדרכו
2,אמר
0,הימנותא
0,מהימן
2,אלא
1,נשרפה
0,לגברא
0,דעקר
2,לא
2,היינו
0,ראמי
1,הגיע
1,העץ
1,הלומד
1,היה
1,יהוה
1,אם
0,בשלמא
0,והינו
2,מן
0,בעלמא
0,חדא
1,זאת
1,כך
0,הא
0,צורבא מרבנן
1,אל
2,ברא
1,חוזרין
1,ומשלמין
0,אוירא
2,ושמע
0,רבנן
2,דקה
1,אינו
0,בפרהסיא
0,אמרי
1,עקיבא
1,תשטה
1,הבטחתו
1,ניטלין
1,נולד
2,דין
1,המזוזה
1,חייב
1,אברי
0,הני
1,מוכר
2,מלכי
0,ינקותא
1,לכהן
2,על
0,שכיחא
1,שביעית
0,איפשר
1,רגלה
0,אי
1,יאמר
1,אשר
1,ובגינה
1,שירש
2,חמש
0,הכי
0,דבי רב
0,לרבה
0,אי
0,נמי
0,תליא
1,אישי
1,ומנה
0,איבעיא
0,ליה
0,רחמי
1,יהוה
1,המעגל
1,ועדוין
1,פי
0,ליה
0,אמרן
2,גנב
1,טפח
0,אדעתא
1,לשור
0,קרנא
0,ליה
0,בדעבד
2,לה
2,אף
0,לן
2,כי
1,הבורסקי
0,ואנן
0,מעליא
1,דלתות
2,שתי
1,והנגרר
2,דבר
2,מי
2,מה
0,נימא
2,משום
1,קיתונות
1,היורשים
1,וחזר
0,דינא
1,גדודי
1,יהושע
1,מתכות
1,את
0,זוזיהו
0,כלי
1,תחתיו
1,יוצאים
2,עשרה
1,חוץ
1,מטמא
1,והשעורים
2,ודאי
1,בשלשה
0,דקאים
0,אתינא
1,כיון
0,לתרויהו
2,מיכן
0,דלא
0,דקתני
1,מגדף
0,אחרינא
0,קמן
0,דידי
1,מנוולתן
2,כל
2,לא
1,נוטריקון
1,יקיז
0,אחזיק
0,לאיט
0,הכי
0,לשמעתא
0,רב
1,אבל
1,כפיהן
1,היורשין
1,הרב
0,מכוין
1,כשבה
1,המשיאין
1,המעשרות
2,לאהרן
0,דאמר
0,מכללא
0,טעמא
1,הבהמה
0,דשמואל
0,רישא
1,בשבת
2,כי
1,עשו
1,מצטרפים
1,האופים
0,דאתי
2,ענבי
1,אחזק
1,המחיה
1,ויצאו
1,שבר
2,בטלו
1,לתחלת
1,שדם
0,זבין
1,חולצת
1,וחצי
1,טרפון
0,דלא
0,רבנן
0,לרבא
1,והרי
1,ונשאו
0,ממונא
1,מסכה
1,נכתב
0,ליה
2,לו
2,וכתב
1,מחצה
1,ששומע
1,במינו
0,חלפא
1,מעשיה
0,והא
1,בחוץ
0,אתי
0,כקביעותא
0,מיניה
1,בשמן
1,הקדש
1,זה
2,כל
2,אלא
0,דהוה
0,אדיהיב
2,לא
0,שרית
0,כל היכא
1,עמון
1,את
2,דין
2,ואכלו
2,לאו
2,ובין
0,קרנא
0,ליה
0,וקסבר
0,אמרינן
0,הלכתא
1,את
2,לא
2,כי
0,הוה
0,בריה
2,אף
1,ונזם
0,מוקמינן
2,הוא
2,מוסף
1,זמה
2,כי
0,מהדדי
0,והכא
0,סבר
1,ביתו
0,מיכס
1,ונוטל
1,ובית
2,עד
1,גזילה
0,התם
0,בהדי הדדי
0,זוזי
0,ומיצעתא
0,דעבד
1,ובירושלים
2,דמו
0,דמעלמא
1,ועל
0,בי דינא
0,הכא
1,שלשה
2,או
1,ישכיר
2,בה
0,עבדד
0,פשיטא
2,לא
2,כי
2,היא
1,מות
0,דאי
2,רבי
0,שדריה
0,אנא
0,רב
1,וההקדשות
1,אחת
1,בכל
0,לנגודא
1,ביד
0,אוקינוס
2,לך
1,אדמה
2,לה
0,להו
0,דמגנבה
1,אחר
0,מודה
0,לן
0,חאזו
0,רב
0,מצי
0,אמרי
1,חפויו
1,ובגידוליהן
0,דזגא
1,שלא
1,לחזור
0,ויתיב
0,קרא
2,טרפה
2,דמה
0,דהוה
0,מטיוה
0,אשתא
1,הפודין
0,ספא
2,עליה
2,אלא
1,נוגעים
1,ששמע
1,ואיש
1,מתעטשות
0,זכיא
1,עמהם
0,דלא
1,ר'
2,באמה
0,כמאן
0,ביתא
0,עליתא
0,כתיבא
2,משום
1,וביתך
0,לתורי
1,וירא
0,קמשמע
0,תוריה
0,מעיקרא
0,ליה
0,למיפרך
1,ששת
0,דרבה
0,ארעא
1,שיש
1,לאבתיכם
1,הפשיון
0,סבי
0,אי
1,סבלונות
0,מתלי
0,ומדמיין
1,ברכו
0,תנא
2,מה
1,נשתברו
1,קופה
1,והזב
0,מניהו
0,דידי
0,ואכיל
2,או
2,ולא
0,ליה
1,ואני
0,כיון
2,אתו
1,ביצים
2,לא
1,אלהי
1,ממקום
0,מאן
0,אשכח
1,בנחל
0,והא
0,ניזהא
0,הכא
0,דינא
0,וכי
1,אם
1,לקטורת
2,או
1,שנראות
0,והא
0,מיבעיא
2,לה
1,אליו
1,שהטילו
1,רכב
0,לחומרא
0,מינה
0,וסתיר
0,באוכלא
1,עליהן
1,משיגמר
0,ומאי
1,הלפס
1,שלא
0,דליכא
0,אמרה
0,קשיאן
1,השמש
2,שתי
1,שאין
1,ישראל
1,בשניהם
0,דלא
0,מסייע
0,תלתא
1,בטרם
1,וגוש
2,בה
1,ראיה
1,שיצא
0,אלמא
1,בן
2,כי
1,תרמו
1,לשחין
0,התם
0,איכא
2,אפשר
1,להביא
0,נרצי
0,דלא
1,ואת
1,וזכר
0,הא
1,טוב
1,בשמאלו
0,ואלא
1,יום
0,רבה
0,לישקול
1,שלשה
1,שהיא
2,לא
0,הדר
0,ליה
0,טעמיהו
2,גמר
1,לאמר
1,הזאת
0,אי
1,בן
1,כלם
1,טפח
0,ואיתימא
1,של
1,הסוס
0,ומישרא
0,אזלא
1,הלילות
0,תרי
1,טהור
1,יפדה
0,למאי
0,אילימא
0,להאי
2,למה
2,מן
1,יטופון
2,הוא
1,דפנות
0,אמרי
2,אף
1,הנר
0,דסרכי
0,כסי
0,מזיג
2,עשרה
1,בעבודתך
0,קדמוך
0,דשמואל
1,כן
1,ידם
2,ומי
0,גופנא
0,האידנא
2,כי
2,או
2,ההוא
0,אמרת
0,סירחא
0,התם
0,עלוהי
0,מאי
1,תפדה
2,משום
1,שלא
1,זה
1,מיטמאין
2,אבה
2,בסיני
1,דם
2,אפשר
1,ונתן
1,המצוה
0,עבדתיה
0,הכי
0,קמא
1,ותצפנהו
1,היו
1,מפני
2,בה
0,להלוכי
2,או
2,ונפל
0,מבלע
2,כל
2,לי
0,משי
0,להו
1,תחטיא
1,הר
0,דאשכבתא
2,לך
1,אינו
1,שאינן
2,או
0,דרתיחו
2,למה
0,בהדה
1,אתרום
0,מפיק
1,אלי
1,שיש
0,מאי
2,לך
1,את
1,ים
0,דכרכיה
0,לדעתיה
1,כיצד
2,לא
1,זה
1,בכבדי
0,דאמרי
1,הייתי
0,בעננא
0,וליתנינהו
1,מטמא
1,דורכין
1,בגדי
1,חגורה
1,אפרש
0,ברי
1,מזחילין
0,לישתרי
0,מאי
0,מסתברא
1,בהן
1,מעשה
1,בן
1,יביאו
2,לא
0,וסופא
1,ותמורתו
1,הגבול
1,העור
2,ידיך
1,אינו
1,דינין
1,שיש
1,בגליל
0,דשמאליה
0,אי
1,קרבן
0,קראיי
1,לאברם
2,בסוף
0,איתא
0,זיקי
1,נבלה
0,עביד
0,מדחיא
1,ושל
1,בשוק
0,ריקנא
1,גדולה
0,מאי
0,אזמניה
2,אמור
0,הכי
1,נאכלות
0,זוטרא
1,העדרים
1,בפני
2,על
1,יתננה
2,בני
1,משביח
1,עזים
0,ומיטרד
1,בתוכה
1,שנים
1,בכור
0,היכא
2,עוברה
1,שכשר
1,להוציאו
0,טרידי
0,הא
1,הגדול
1,פני
0,האי
0,אמרה
1,קדש
0,דהא
2,לא
0,ואי
0,והא
0,דרב
2,וכל
1,שש
1,השמן
1,קערת
1,עושה
2,לו
1,בפסח
0,איסורא
1,שכרה
1,יין
1,תרומתו
1,שמן
0,אימא
1,מכל
1,מבתחלתן
2,עד
0,לדידיה
0,רובה
2,לה
0,במלי
0,ולרב
0,פירא
1,שיהא
0,חזנא
0,בגו
0,ובליליא
1,ומביאין
0,דבעו
0,קמשמע
1,פגעיאל
2,כרתי
0,איתתא
0,איסוריתא
0,עיסקיה
1,לוי
1,מועד
1,הגט
0,דרב
0,אמרי
0,ספי
0,ליה
0,יתבי
0,נזירא
0,כרבה
1,נשאלים
1,תכירו
0,מיחייב
0,קמשמע
2,אלא
1,לתוך
2,שני
1,הקרבנות
1,מטהרתה
2,לא
0,חתמי
0,לרב
2,בין
0,סופא
2,אלא
0,מסתברא
0,לאביי
1,והודעתי
1,כופת
0,ליה
1,אל
1,ונמלך
1,כשר
1,מאיר
2,רבי
0,חיובי
1,אמרת
1,ואחת
0,קא
1,תגזל
2,ארבע
2,מה
1,והעזרות
1,למכור
0,דוכתא
0,זני
1,מותר
1,אומרת
2,לה
1,אל
1,עם
2,הוא
0,מיטיפי
2,אין
0,דינא
1,ואביאסף
0,לפום בדיתא
1,ושלשת
1,פעמים
1,הפליא
1,אשמה
0,מיתסר
2,שבע
1,בעוביו
0,אי
0,דקשישן
0,הכי
0,תנא
0,שנא
1,אם
0,תני
1,והיה
0,דקימי
0,קנסא
0,למאן
0,לאיתויי
0,איבעיא
2,הוא
2,לאו
0,תו
0,קא
1,בהם
0,בעי
1,פטורה
2,לי
1,ועברו
0,דפומבדיתא
0,למיקרעיה
2,אף
2,מן
1,פרשו
1,ממחרת
0,הכא
1,הבעלים
1,יהושע
2,לא
0,חטאיה
0,איכא
2,אמר
0,אתא
1,תלך
1,ויגמל
1,במדה
1,ואינו
0,נמי
0,דקתני
1,הקרובה
2,הוא
0,לן
1,יום
1,יהוה
2,אין
0,חשיב
0,תלתא
1,הכהן
1,החסיר
1,טמאין
0,אכילתא
1,תלבש
1,במותר
1,הארץ
0,אי
2,כל
0,ויהביה
2,היא
1,בער
0,דמי
0,במטויא
0,ליה
1,יוצאות
0,עביד
2,לה
1,כן
2,לקרא
1,באפיו
1,ויבא
1,פטורין
0,נזרקינהו
1,את
2,אמרו
1,אותם
1,רקם
0,כינונא
1,לחטאת
1,ורבי
0,מצי
1,והזה
2,מי
1,זהב
0,איניש
0,ליה
0,דמחייב
1,ממזרין
0,מאי
1,העולם
1,ואין
0,כולי עלמא
0,עשבי
1,בבית
0,ליה
1,בכל
1,הרבה
2,לא
0,גביהו
0,דכל
0,הב
2,לא
0,הא
0,ודון
0,רב
1,את
1,שתגלחת
0,דא
1,שתרבה
0,הכי
0,לבניה
1,המגע
0,רב
1,ויוצאין
1,כנסן
0,למיקץ
0,מהגרוניא
0,מכי
1,בואו
0,רבנן
0,זימנא
2,על
1,האמהת
2,לאבי
0,נימרינהו
1,רוב
0,דמלכא
0,מיניה
0,דומיא
0,פסולא
0,סבירא
2,קנה
0,אימא
2,משום
0,חבשוה
1,הזאת
0,מילי
0,נמי
0,בכוליה
0,רב
1,ימלך
1,יהושע
1,יום
1,ועם
0,שנא
1,מכלום
1,ודשנו
1,מעריכין
1,כריתות
1,פטורין
1,בנים
0,חד
2,דבר
1,סהר
2,דכתיב
0,מעלי
0,הוה
1,לזרוק
2,לו
1,באדם
1,שנולד
1,הגוים
2,כי
0,דידך
1,בו
0,מתרץ
2,אתו
0,סליק
2,לא
1,לשם
2,לא
1,מקריבם
1,והעמדת
2,וכל
0,סבר
1,הערפל
0,דכודניא
1,הארץ
0,אמרי
0,עבידן
0,אגבהינהו
1,טמאים
0,בפירי
1,לפניו
2,לא
0,ליה
2,אלא
1,טהור
1,ואינו
1,שבוים
1,עשיתי
0,סליק
1,בכרכים
0,דמאטי
2,לא
1,המפנה
1,ולאכל
1,המקוה
0,דאמרינן
2,אכל
1,צוה
0,תרין
2,כי
0,ופליג
2,לא
1,טמא
1,מקצת
0,בהינו
0,ביה
1,מקום
1,ומכין
2,בה
1,אל
0,דמי
0,ליה
0,באפיה
1,בעיניו
1,בראייה
0,קימחא
2,אף
1,חטאת
0,אתי
0,ארנקא
1,את
1,ושפשעתי
0,מהו
0,דרב
1,האמר
0,ארישא
0,טעמא
2,היא
0,הא
1,אחת
0,אבוה
1,נקייה
1,שירבה
1,אבידן
1,ויאכל
1,נגנב
0,כל היכא
2,מי
0,דרב
1,לתיק
1,ועניתם
0,טעותא
1,בית
0,מאי
0,דמי
0,לימא
0,דאתא
0,בריה
0,אלאוי
2,בין
0,ליה
1,נהרגין
0,ליה
0,נהיר
0,לפומיה
1,אביו
0,קמיתא
2,חטא
1,שבמקום
1,ואין
1,בזה
1,ישבע
2,ונח
0,משהי
1,איביכם
1,אהל
1,ונקליטי
0,נפקא
1,היתה
0,מאי
0,מאי
1,חבלת
0,גחיני
2,אלא
0,רב
2,עליה
2,שתי
2,אלא
1,והפרזי
0,לן
1,בסכין
0,לדידיה
1,כה
2,איני
1,שלי
1,ה'
0,דילמא
0,ליה
1,רדף
0,דמסייעא
0,אמרן
1,השוחמי
0,ניהו
1,איל
0,דלגבי
0,תמרי
0,יומא
1,נמלקה
1,כך
0,התם
1,ואחד
0,דמי
0,מילי
0,דרב
2,עבדו
1,אברם
1,כיצד
1,שמאי
1,עזר
0,שנין
1,הקלעים
0,הוה
0,גביהו
0,שקרי
1,ועל
1,לבאר
1,מקבלין
2,לי
2,מה
2,לכו
1,נתנין
2,שמע
1,ובשמת
1,שלשים
0,ועשרין
0,ריפתא
1,בשוגג
1,מתנה
2,אמר
2,בשבעה
0,מאן
1,זרה
1,כף
1,חטאת
2,עלי
2,וכל
0,התינח
1,באחרות
2,רבי
2,לי
0,חזיתא
1,שנה
1,אותו
0,דהואי
2,תשע
1,והמזיק
0,הדדי
1,ואלה
1,ובפסיון
0,ואתיא
1,שנתנו
1,מנת
2,גמרי
2,בין
0,ליכא
0,אורחיה
1,באחותה
1,פה
0,ביממא
1,ר'
0,דלא
1,במדבר
2,או
2,ההוא
0,דאיג
0,גופיה
1,זה
1,ולפנים
0,ביה
1,כך
1,מתו
1,היתה
1,עליהם
0,דאמרי
1,שהוא
2,לא
2,ידך
0,והכא
0,יומא
2,בטלו
1,אחד
2,שרי
0,דליכא
0,האי
1,והניף
1,שהבטחתנו
0,בשבויא
0,כולי האי
0,תיגלי
1,הנחל
1,ליתום
0,זבין
1,מעפר
0,נינהו
2,לכל
1,יושבת
1,לנסך
1,הולך
1,כך
1,שלמטה
1,יהודה
0,קני
0,והא
0,דבי בני
0,איתנשי
0,ואי
1,ולשמע
1,הלל
2,לא
1,בעל
1,שאין
2,לה
1,אומר
1,יהוה
1,וחכמים
0,דמי
2,מילה
0,אי
0,מזדבן
1,אהרן
0,דליבריך
2,לא
1,עשר
1,הנולדים
0,הכי
1,אתרוגיהן
1,ירמטיה
2,ואחרים
0,סבירא
0,ליה
0,להו
1,נמוך
1,עולין
1,אוכל
0,יהבינן
0,באתרא
2,לאו
1,שמאי
2,לא
0,אמרה
0,אמרת
2,ארבע
0,כי האי גונא
1,לחטאת
0,ניהליה
2,לא
2,הוא
2,לו
2,לא
1,ימיך
0,תרין
0,הא
1,לעשו
0,למאן
1,אביו
0,וניגזור
2,למה
2,קדים
0,מפיק
2,תהא
0,פרושי
1,חת
1,להוציאן
1,בכירה
0,ניפטר
0,והכא
1,וארגמן
1,ביצה
0,בבריתא
1,בנים
1,הבית
1,מלחמה
2,לא
2,והוא
2,וכן
1,מאמינים
1,ושתים
1,משפחת
2,בין
0,אי
2,מן
1,ואחת
0,דאי
0,לשמעתתיה
1,נקבו
0,ואמאי
0,דמשתבע
2,מזרע
2,הוא
0,פלגא
0,לית
2,מדה
0,בענן
2,לי
1,מקשה
0,ליה
2,מה
1,מחצי
1,האלה
2,טעם
1,במבושיו
0,דאמר
1,השני
2,לו
1,צרת
2,או
0,דמחטא
0,ליה
0,תיסתכל
0,דיתמי
2,מי
1,שמאי
2,כל
1,והמעקר
1,אנכי
2,אלא
2,לי
0,ביניהו
1,בלשון
1,נפתחות
0,האי
1,אחד
1,עשהו
0,דאמר
1,יודע
0,דלא
0,נמי
0,ליה
2,מה
0,לכולהו
0,תיפוק
1,הניח
0,דדחיקא
1,מיטמאים
0,והוינן
1,מאיר
2,לא
1,יהוה
0,שדייה
2,לאו
0,הוו
1,וגרגר
2,רבי
0,עדיף
0,לרבינא
1,ונעדתי
0,ליה
2,משלי
0,ליכא
2,בה
0,פסיד
2,שרי
0,אי
1,כותים
1,ואחת
1,למקומו
1,שמאי
1,שקרב
0,אתאמר
0,רוחא
0,שכיחא
0,ומאי
1,להן
2,דין
1,בפשיון
2,שרי
2,כי
0,ושדר
0,דחברך
1,יאכלנו
2,רבי
0,אמינא
2,מיכן
